"tipo_registro","extracao_consistente","extracao_inconsistente","total_registros","processados","sucesso","erro","parecer"
agenciasBancarias,17,0,17,16,16,0,MIGRACAO_INCOMPLETA
agrupamentos,188,0,188,188,188,0,MIGRACAO_COMPLETA
agrupamentosCamposAdicionais,599,0,599,599,599,0,MIGRACAO_COMPLETA
atividadesEconomicas,1384,0,1384,1384,1384,0,MIGRACAO_COMPLETA
atividadesEconomicasInfComplem,2751,0,2751,2751,2751,0,MIGRACAO_COMPLETA
atividadesEconomicasInfCompOp,1492,0,1492,639,639,0,MIGRACAO_INCOMPLETA
atividadesEconomicasRelacionadas,31,0,31,31,31,0,MIGRACAO_COMPLETA
atos,234,0,234,234,234,0,MIGRACAO_COMPLETA
atosFontesDivulgacoes,234,0,234,234,234,0,MIGRACAO_COMPLETA
bairros,2665,0,2665,2665,2665,0,MIGRACAO_COMPLETA
bancos,155,0,155,155,155,0,MIGRACAO_COMPLETA
camposAdicionais,973,0,973,971,971,0,MIGRACAO_INCOMPLETA
cartorios,15,0,15,15,15,0,MIGRACAO_COMPLETA
cnaes,2014,0,2014,2014,2014,0,MIGRACAO_COMPLETA
condominios,506,0,506,231,231,0,MIGRACAO_INCOMPLETA
configImobiliarias,1,0,1,1,1,0,MIGRACAO_COMPLETA
configInscrImobiliarias,10,0,10,10,10,0,MIGRACAO_COMPLETA
configNotasAvulsas,1,0,1,1,1,0,MIGRACAO_COMPLETA
configTransfImoveis,1,0,1,1,0,1,MIGRACAO_INCOMPLETA
contadores,888,0,888,888,888,0,MIGRACAO_COMPLETA
contribMelhoriasBairros,94,0,94,35,35,0,MIGRACAO_INCOMPLETA
contribMelhoriasImoveis,3080,0,3080,801,0,801,MIGRACAO_INCOMPLETA
contribuicoesMelhorias,135,0,135,69,69,0,MIGRACAO_INCOMPLETA
creditosTributarios,120,0,120,120,120,0,MIGRACAO_COMPLETA
creditosTributariosRec,386,0,386,386,386,0,MIGRACAO_COMPLETA
distritos,10,0,10,10,10,0,MIGRACAO_COMPLETA
economicos,42421,0,42421,0,0,0,MIGRACAO_INCOMPLETA
economicosCnaes,131646,0,131646,0,0,0,MIGRACAO_INCOMPLETA
economicosCnaesInfComplem,640712,0,640712,0,0,0,MIGRACAO_INCOMPLETA
economicosCnaesInfComplemOp,145754,0,145754,0,0,0,MIGRACAO_INCOMPLETA
economicosCnaesValores,152788,0,152788,0,0,0,MIGRACAO_INCOMPLETA
economicosInfComplem,1145075,0,1145075,0,0,0,MIGRACAO_INCOMPLETA
economicosInfComplemOp,604449,0,604449,0,0,0,MIGRACAO_INCOMPLETA
economicosListaServicos,52768,0,52768,0,0,0,MIGRACAO_INCOMPLETA
economicosListaServicosValores,52768,0,52768,0,0,0,MIGRACAO_INCOMPLETA
economicosMovimentacoes,194692,0,194692,0,0,0,MIGRACAO_INCOMPLETA
engenheirosArquitetos,676,0,676,676,676,0,MIGRACAO_COMPLETA
engenheirosArquitetosCbo,676,0,676,676,676,0,MIGRACAO_COMPLETA
estados,27,0,27,27,27,0,MIGRACAO_COMPLETA
faces,5,0,5,5,5,0,MIGRACAO_COMPLETA
feriados,9,0,9,9,9,0,MIGRACAO_COMPLETA
fontesDivulgacoesAtos,1,0,1,1,1,0,MIGRACAO_COMPLETA
horariosDias,425,0,425,425,425,0,MIGRACAO_COMPLETA
horariosFuncionamento,85,0,85,85,85,0,MIGRACAO_COMPLETA
imobiliarias,2,0,2,2,2,0,MIGRACAO_COMPLETA
imoveis,106986,0,106986,35393,35393,0,MIGRACAO_INCOMPLETA
imoveisEnglobados,9577,0,9577,3096,3096,0,MIGRACAO_INCOMPLETA
imoveisInfComplem,16926043,0,16926043,5576393,5576393,0,MIGRACAO_INCOMPLETA
imoveisInfComplemOp,4814758,0,4814758,1589493,1589493,0,MIGRACAO_INCOMPLETA
imoveisMovimentacoes,368630,0,368630,120023,120023,0,MIGRACAO_INCOMPLETA
imoveisResponsaveis,108357,0,108357,35742,35742,0,MIGRACAO_INCOMPLETA
imoveisTestadas,717858,0,717858,211308,211308,0,MIGRACAO_INCOMPLETA
indexadores,27,0,27,27,27,0,MIGRACAO_COMPLETA
indexadoresValores,1969,0,1969,1969,1969,0,MIGRACAO_COMPLETA
listaServicos,245,0,245,245,245,0,MIGRACAO_COMPLETA
logradouros,58303,0,58303,58303,18652,39651,MIGRACAO_INCOMPLETA
logradourosBairros,2718,0,2718,1178,1030,148,MIGRACAO_INCOMPLETA
logradourosCep,2477,0,2477,1114,911,203,MIGRACAO_INCOMPLETA
loteamentos,574,0,574,574,574,0,MIGRACAO_COMPLETA
materiaisServicos,1,0,1,1,1,0,MIGRACAO_COMPLETA
motivos,202,0,202,202,202,0,MIGRACAO_COMPLETA
municipios,5570,0,5570,5570,5570,0,MIGRACAO_COMPLETA
naturezasTextoJurAtos,1,0,1,1,1,0,MIGRACAO_COMPLETA
notasAvulsas,103102,0,103102,85417,85417,0,MIGRACAO_INCOMPLETA
notasAvulsasMovtos,102945,0,102945,85282,85282,0,MIGRACAO_INCOMPLETA
notasAvulsasServicos,110156,0,110156,0,0,0,MIGRACAO_INCOMPLETA
obras,11434,0,11434,3797,3797,0,MIGRACAO_INCOMPLETA
obrasImoveisInfComp,238247,0,238247,79284,79128,156,MIGRACAO_INCOMPLETA
obrasImoveisInfCompOp,46226,0,46226,15207,15207,0,MIGRACAO_INCOMPLETA
paises,246,0,246,246,246,0,MIGRACAO_COMPLETA
pessoas,350790,0,350790,350790,350790,0,MIGRACAO_COMPLETA
pessoasEmails,9293,0,9293,9293,9293,0,MIGRACAO_COMPLETA
pessoasEnderecos,340560,0,340560,133270,117681,15589,MIGRACAO_INCOMPLETA
pessoasFisicas,228940,0,228940,228940,228940,0,MIGRACAO_COMPLETA
pessoasFisicasDocumentos,6587,0,6587,6587,6587,0,MIGRACAO_COMPLETA
pessoasInfComplem,22573,0,22573,22573,22573,0,MIGRACAO_COMPLETA
pessoasInfComplemOp,4118,0,4118,4118,4118,0,MIGRACAO_COMPLETA
pessoasJuridicas,67916,0,67916,67916,67916,0,MIGRACAO_COMPLETA
pessoasJuridicasSocios,8178,0,8178,8178,8178,0,MIGRACAO_COMPLETA
pessoasMovimentacoes,37393,0,37393,35434,35434,0,MIGRACAO_INCOMPLETA
pessoasMovtosMEI,16372,0,16372,16372,16372,0,MIGRACAO_COMPLETA
pessoasMovtosSimplesNacional,45123,0,45123,45123,45123,0,MIGRACAO_COMPLETA
pessoasTelefones,104759,0,104759,104759,104759,0,MIGRACAO_COMPLETA
plantasValores,335313,0,335313,151255,151255,0,MIGRACAO_INCOMPLETA
receitas,386,0,386,386,386,0,MIGRACAO_COMPLETA
receitasDiversas,480592,0,480592,406136,406127,9,MIGRACAO_INCOMPLETA
receitasDiversasInfComp,205799,0,205799,160764,160764,0,MIGRACAO_INCOMPLETA
receitasDiversasLanctos,480592,0,480592,406127,406074,53,MIGRACAO_INCOMPLETA
receitasDiversasLanctosRec,477586,0,477586,398432,398432,0,MIGRACAO_INCOMPLETA
receitasDiversasMovtos,10759,0,10759,9931,9931,0,MIGRACAO_INCOMPLETA
relacaoTiposServicoCreditosTributarios,87,0,87,87,87,0,MIGRACAO_COMPLETA
secoes,2090,0,2090,872,872,0,MIGRACAO_INCOMPLETA
secoesInfComplem,7802,0,7802,3030,3030,0,MIGRACAO_INCOMPLETA
tiposAtos,4,0,4,4,4,0,MIGRACAO_COMPLETA
tiposLogradouros,129,0,129,129,129,0,MIGRACAO_COMPLETA
transferenciaImoveis,15737,0,15737,15737,15737,0,MIGRACAO_COMPLETA
transfImoveisItens,17898,0,17898,4412,4412,0,MIGRACAO_INCOMPLETA
transfImoveisItensCompra,17736,0,17736,4250,4250,0,MIGRACAO_INCOMPLETA
transfImoveisItensProcessos,17898,0,17898,4412,4412,0,MIGRACAO_INCOMPLETA
transfImoveisItensVenda,17898,0,17898,4412,4412,0,MIGRACAO_INCOMPLETA
unidadesMedidas,23,0,23,23,23,0,MIGRACAO_COMPLETA
